Feature,Mean_Abs_SHAP,Rank
Glucose,0.13874046208109206,1
BMI,0.07262976541359083,2
Age,0.0623802757708574,3
DiabetesPedigreeFunction,0.04371871632662743,4
Pregnancies,0.03424732392893594,5
Insulin,0.026031003620668906,6
BloodPressure,0.02237676319886851,7
SkinThickness,0.01967935445858236,8
